# ADC_TOP v0.2 constraint dependency manifest (UTF-8/LF; deterministic order)
# classification=DEFERRED_TO_TOP; dependency_scope=EXTERNAL_ONLY; module_xdc=NONE
KIND	IDENTIFIER	DETAIL
DESIGN	ADC_TOP_Design.md	SHA256=6f25849d110ac136168c9463795b1bf20786f0ac551562b3238b29d7804bb9db; spec=v0.2
RTL	ADC_REG.v	SHA256=dfb8933fe22c8f5f82324ddc8a833dcb4409c520f30e96d9944ce873ee25a148; SYS AXI/TGC-run owner
RTL	ADC_SYNC.v	SHA256=afe1110b18d8929f9a02ed45fe134d194232e554a59ac6c2bcb06cb921ccb97d; SYS/ADC/AFE CDC owner
RTL	CHN_SYNC.v	SHA256=c77bc5c523dbe765edeb82b5e99bd2ae423863ae6f5e6bd5f6b126bb564e383e; local event/level CDC owner
RTL	ADC_TGC.v	SHA256=52e0b34194321886e2d3f8598377f1a480a41c9d8eba905546a02c48b0409c6d; AFE TGC action FSM
RTL	CRC16.v	SHA256=196029100b85e62bc1b23c05192662b2d4ef19f0052aad9d1f5cb10db77656b1; ADC CRC pipeline
RTL	ADC_PKT.v	SHA256=c98afbea432f60709deea28ef5a36791f4ff3d3d2ca9d9ece0331eb7394a1832; ADC packet/AXIS
RTL	ADC_RXD.v	SHA256=5f4d144a67314f30a17abd22ba9beaf53656dd961eafcb197f125f5b51de96b8; AFE receive tuple / delayed event edge
RTL	ADC_UPK.v	SHA256=4ec39ec0bd610bf824a1979ab9130cb5300e1fc50d5e266ecb713d0629a07240; AFE UPK/DDC admission
RTL	ADC_CHN.v	SHA256=b9d277dc898b13952edf03dfb209d843882c3f4acd3474daabd1d099f9cf6401; FIFO boundary/channel composition
RTL	ADC_TOP.v	SHA256=b1b3bb7f74acdc237f6e6078a845bb61b250123a6356a5d602f65102199a57a1; fixed external interface
FILELIST	filelist.f	SHA256=fb7f312367bfdc28d5d678f2ea3ff5eb89288a674dab30789c1870f46f1c373c
PUB	ADI_JESD204/jesd204_rx.v	immutable SHA256=3b30e702ef440d19fb04656be61f0fc088103f3823846c4f6825b8163f873fc7
PUB	pub_filelist.f	SHA256=5b598ccd8fb78fe9360b960b14f0139bc738596d87783245421fab573af1d34c
CLOCK	sys_clk	EXTERNAL REGISTER_CLOCK; top integration owns source/period/reset/sys_rst_n
CLOCK	adc_clk	EXTERNAL REGISTER_CLOCK; top integration owns source/period/reset/adc_rst_n
CLOCK	afe_clk	EXTERNAL REGISTER_CLOCK; top integration owns source/period/reset/afe_rst_n
CLOCK	jesd_clk[7:0]	EXTERNAL recovered clocks; JESD/integration owns topology/reset
RESET	sys_rst_n|adc_rst_n|afe_rst_n|jesd_rst_n[7:0]	EXTERNAL reset architecture owner
PORT_SET	ADC_TOP public boundary	AXI-Lite, PHY/JESD, AXIS, external TGC timing owner=system top
INTERNAL_OBJECT	NONE	No module-local pin/cell/generated-clock/exception endpoint is justified
EXCEPTION	NONE	No asynchronous grouping/false path justified before integrated topology resolution
